Strategy,Metric,Mean,Median,Standard Deviation,95% Confidence Interval
Zero-shot Direct,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot Direct,Energy (J),911.42,911.42,0.00,N/A (n=1)
Zero-shot Direct,Total Latency (ms),28014.01,28014.01,0.00,N/A (n=1)
Zero-shot Direct,Generation Latency (ms),24777.03,24777.03,0.00,N/A (n=1)
Zero-shot Direct,TTFT (ms),3236.97,3236.97,0.00,N/A (n=1)
Zero-shot Direct,Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot Direct,Output Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Few-shot (3),Energy (J),1173.48,1173.48,0.00,N/A (n=1)
Few-shot (3),Total Latency (ms),32887.61,32887.61,0.00,N/A (n=1)
Few-shot (3),Generation Latency (ms),26107.39,26107.39,0.00,N/A (n=1)
Few-shot (3),TTFT (ms),6780.22,6780.22,0.00,N/A (n=1)
Few-shot (3),Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Output Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot CoT,Energy (J),3502.22,3502.22,0.00,N/A (n=1)
Zero-shot CoT,Total Latency (ms),59749.15,59749.15,0.00,N/A (n=1)
Zero-shot CoT,Generation Latency (ms),56835.10,56835.10,0.00,N/A (n=1)
Zero-shot CoT,TTFT (ms),2914.05,2914.05,0.00,N/A (n=1)
Zero-shot CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Zero-shot CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Short CoT,Energy (J),3879.98,3879.98,0.00,N/A (n=1)
Short CoT,Total Latency (ms),59676.47,59676.47,0.00,N/A (n=1)
Short CoT,Generation Latency (ms),56800.98,56800.98,0.00,N/A (n=1)
Short CoT,TTFT (ms),2875.49,2875.49,0.00,N/A (n=1)
Short CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Long CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Long CoT,Energy (J),10852.01,10852.01,0.00,N/A (n=1)
Long CoT,Total Latency (ms),130798.43,130798.43,0.00,N/A (n=1)
Long CoT,Generation Latency (ms),127670.40,127670.40,0.00,N/A (n=1)
Long CoT,TTFT (ms),3128.03,3128.03,0.00,N/A (n=1)
Long CoT,Thinking Tokens,1024.00,1024.00,0.00,N/A (n=1)
Long CoT,Output Tokens,1024.00,1024.00,0.00,N/A (n=1)
