hardware,model,prompt_strategy,sample_size,accuracy,mean_energy_j,std_energy_j,mean_ttft_ms,mean_latency_ms,measurement_method
unknown,gemma3:4b,ctx_0,47,0.8085106382978723,7231.026808510638,2627.931665255193,7928.104042553192,72224.86744680851,codecarbon_estimated
unknown,gemma3:4b,ctx_1024,50,0.82,11413.882596,2725.849853021123,61462.9688,112578.29899999998,codecarbon_estimated
unknown,gemma3:4b,ctx_2048,50,0.76,18199.796754,3022.9021215034722,127782.3452,178590.9866,codecarbon_estimated
unknown,gemma3:4b,ctx_4096,50,0.76,17046.638946,3395.31560289365,113368.71139999999,166693.3072,codecarbon_estimated
unknown,gemma3:4b,ctx_512,50,0.74,9388.636676,3299.0896783617172,29652.9784,92549.6678,codecarbon_estimated
unknown,gemma3:4b,few_shot_3,51,0.17647058823529413,803.7641137254903,122.77614705237606,13289.884705882348,13946.490980392155,codecarbon_estimated
unknown,gemma3:4b,long_cot,51,0.8627450980392157,3863.7429058823527,2341.923077491892,6141.931568627452,64258.08176470588,codecarbon_estimated
unknown,gemma3:4b,short_cot,51,0.7647058823529411,1378.890688235294,704.8074734335652,5951.8341176470585,24386.94705882353,codecarbon_estimated
unknown,gemma3:4b,zero_shot_cot,51,0.803921568627451,2842.196321568628,1079.6687515432136,5901.311372549021,48068.63823529412,codecarbon_estimated
unknown,gemma3:4b,zero_shot_direct,51,0.0784313725490196,314.4448254901961,100.33401986449931,5532.6370588235295,6949.15568627451,codecarbon_estimated
unknown,qwen3.5:0.8b,ctx_0,2,0.0,3110.66775,350.36555,2476.945,58691.03,codecarbon_estimated
unknown,qwen3.5:0.8b,ctx_1024,2,0.0,7648.3187,503.5659999999998,22867.495000000003,79409.67,codecarbon_estimated
unknown,qwen3.5:0.8b,ctx_512,2,0.0,5640.2797,788.1855999999998,9989.835,66742.475,codecarbon_estimated
unknown,qwen3.5:0.8b,few_shot_3,52,0.0,3189.112317307692,485.9006525590757,6530.335769230768,32164.075384615382,codecarbon_estimated
unknown,qwen3.5:0.8b,long_cot,52,0.0,3073.1539461538464,129.09154007468058,2199.7201923076923,60586.24923076923,codecarbon_estimated
unknown,qwen3.5:0.8b,rag_top_1,1,0.0,1182.2078,0.0,7542.05,34191.5,codecarbon_estimated
unknown,qwen3.5:0.8b,short_cot,52,0.0,4808.592669230769,1247.536584918371,3096.3057692307693,49200.75250000001,codecarbon_estimated
unknown,qwen3.5:0.8b,zero_shot_cot,52,0.0,5374.1850403846165,668.0803234299304,3140.608269230769,53364.632115384615,codecarbon_estimated
unknown,qwen3.5:0.8b,zero_shot_direct,52,0.0,2315.322569230769,944.4126891967591,2907.8853846153843,26691.09384615385,codecarbon_estimated
windows_10core_pc,qwen3.5:0.8b,ctx_0,1,0.0,5813.9173,0.0,2821.21,62985.49,codecarbon_estimated
windows_10core_pc,qwen3.5:0.8b,few_shot_3,2,0.0,1173.4813,0.0,6780.22,32887.61,codecarbon_estimated
windows_10core_pc,qwen3.5:0.8b,long_cot,2,0.0,10852.0117,0.0,3128.03,130798.43,codecarbon_estimated
windows_10core_pc,qwen3.5:0.8b,short_cot,2,0.0,3879.9798,0.0,2875.49,59676.47,codecarbon_estimated
windows_10core_pc,qwen3.5:0.8b,zero_shot_cot,2,0.0,3502.2154,0.0,2914.05,59749.15,codecarbon_estimated
windows_10core_pc,qwen3.5:0.8b,zero_shot_direct,2,0.0,911.4218,0.0,3236.97,28014.01,codecarbon_estimated
macbook_air_m1,qwen3.5:0.8b-mlx,ctx_0,40,0.0,33.359159999999996,2.948110755450005,373.832,22096.251,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,ctx_1024,40,0.0,98.83670500000001,40.47354248935315,6725.004999999999,60613.600500000015,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,ctx_2048,40,0.0,88.915545,24.128457006561256,10022.4515,49544.0305,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,ctx_4096,40,0.0,92.872695,21.28779068800882,14902.068,41470.728500000005,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,ctx_512,40,0.0,45.121385,7.100230900560558,2534.6595,27989.589,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,ctx_8192,40,0.0,152.873985,39.47726018427919,30544.402000000002,58059.27,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,few_shot_3,40,0.0,11.639144444444446,7.621250038341057,1373.325,16738.5985,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,long_cot,40,0.0,77.286405,6.658739469259554,554.7945,49329.298,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,rag_top_1,40,0.0,28.51332,2.65532397017765,1066.0375,9386.798499999999,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,rag_top_3,40,0.0,31.254319999999996,1.574451452284255,2098.8995,10204.9795,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,rag_top_5,40,0.0,35.768695,2.483574751940235,2821.943,10969.2695,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,short_cot,40,0.0,38.375385,4.8874648754006405,735.6959999999999,28229.961,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,zero_shot_cot,40,0.0,47.42901500000001,10.095100178862763,1116.9669999999999,35498.6025,apple_powermetrics
macbook_air_m1,qwen3.5:0.8b-mlx,zero_shot_direct,80,0.0,27.8531975,7.48120891756431,392.229,8218.242,apple_powermetrics
unknown,qwen3.5:0.8b-mlx,few_shot_3,146,0.0136986301369863,nan,nan,1618.911301369863,10472.888356164385,apple_estimated
unknown,qwen3.5:0.8b-mlx,long_cot,142,0.014084507042253521,182.5982528169014,165.3281312595275,1537.6805633802815,26706.21316901408,apple_estimated
unknown,qwen3.5:0.8b-mlx,short_cot,143,0.013986013986013986,177.8495657342657,819.9038627780724,2935.771328671329,16603.4672027972,apple_estimated
unknown,qwen3.5:0.8b-mlx,zero_shot_cot,145,0.013793103448275862,nan,nan,1039.1482068965518,15604.82372413793,apple_estimated
unknown,qwen3.5:0.8b-mlx,zero_shot_direct,171,0.029239766081871343,nan,nan,7368.70812865497,17292.47543859649,apple_estimated
