Strategy,Metric,Mean,Median,Standard Deviation,95% Confidence Interval
Zero-shot Direct,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot Direct,Energy (J),1406.12,979.61,621.04,N/A (n=1)
Zero-shot Direct,Total Latency (ms),28387.98,28110.57,1581.63,N/A (n=1)
Zero-shot Direct,Generation Latency (ms),25463.10,25244.03,1982.91,N/A (n=1)
Zero-shot Direct,TTFT (ms),2924.88,2726.94,827.43,N/A (n=1)
Zero-shot Direct,Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot Direct,Output Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Few-shot (3),Energy (J),1908.08,1931.86,277.44,N/A (n=1)
Few-shot (3),Total Latency (ms),27635.35,27280.33,905.40,N/A (n=1)
Few-shot (3),Generation Latency (ms),20957.77,20553.72,637.35,N/A (n=1)
Few-shot (3),TTFT (ms),6677.58,6726.60,742.00,N/A (n=1)
Few-shot (3),Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Output Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot CoT,Energy (J),4178.73,4016.78,482.45,N/A (n=1)
Zero-shot CoT,Total Latency (ms),46008.76,44212.09,3697.87,N/A (n=1)
Zero-shot CoT,Generation Latency (ms),42911.66,41689.30,2977.47,N/A (n=1)
Zero-shot CoT,TTFT (ms),3097.10,3109.29,862.12,N/A (n=1)
Zero-shot CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Zero-shot CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Short CoT,Energy (J),4339.17,4340.51,110.13,N/A (n=1)
Short CoT,Total Latency (ms),45453.94,45208.79,1133.40,N/A (n=1)
Short CoT,Generation Latency (ms),42144.73,42135.06,474.61,N/A (n=1)
Short CoT,TTFT (ms),3309.22,3076.73,832.24,N/A (n=1)
Short CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Long CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Long CoT,Energy (J),8946.03,8899.89,268.87,N/A (n=1)
Long CoT,Total Latency (ms),89677.24,90406.65,2638.37,N/A (n=1)
Long CoT,Generation Latency (ms),86490.88,86786.32,2350.54,N/A (n=1)
Long CoT,TTFT (ms),3186.36,3199.06,486.33,N/A (n=1)
Long CoT,Thinking Tokens,1024.00,1024.00,0.00,N/A (n=1)
Long CoT,Output Tokens,1024.00,1024.00,0.00,N/A (n=1)
