Strategy,Metric,Mean,Median,Standard Deviation,95% Confidence Interval
Zero-shot Direct,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot Direct,Energy (J),34.01,31.57,8.85,N/A (n=1)
Zero-shot Direct,Total Latency (ms),6210.75,6251.90,478.09,N/A (n=1)
Zero-shot Direct,Generation Latency (ms),5948.55,5951.68,476.73,N/A (n=1)
Zero-shot Direct,TTFT (ms),262.20,233.33,81.91,N/A (n=1)
Zero-shot Direct,Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot Direct,Output Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Few-shot (3),Energy (J),32.36,32.40,6.76,N/A (n=1)
Few-shot (3),Total Latency (ms),6964.44,6858.71,1063.15,N/A (n=1)
Few-shot (3),Generation Latency (ms),6390.36,6360.60,859.66,N/A (n=1)
Few-shot (3),TTFT (ms),574.08,313.56,552.47,N/A (n=1)
Few-shot (3),Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Output Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot CoT,Energy (J),59.94,57.40,10.74,N/A (n=1)
Zero-shot CoT,Total Latency (ms),12816.98,12534.77,976.48,N/A (n=1)
Zero-shot CoT,Generation Latency (ms),12499.17,12281.98,946.37,N/A (n=1)
Zero-shot CoT,TTFT (ms),317.81,287.31,141.81,N/A (n=1)
Zero-shot CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Zero-shot CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Short CoT,Energy (J),60.32,58.68,8.12,N/A (n=1)
Short CoT,Total Latency (ms),14363.27,14414.48,1015.47,N/A (n=1)
Short CoT,Generation Latency (ms),13469.94,13387.76,832.51,N/A (n=1)
Short CoT,TTFT (ms),893.32,753.74,589.18,N/A (n=1)
Short CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Long CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Long CoT,Energy (J),122.85,122.72,10.92,N/A (n=1)
Long CoT,Total Latency (ms),25077.25,24897.51,3028.87,N/A (n=1)
Long CoT,Generation Latency (ms),24421.86,24434.81,2517.53,N/A (n=1)
Long CoT,TTFT (ms),655.39,304.52,715.15,N/A (n=1)
Long CoT,Thinking Tokens,1024.00,1024.00,0.00,N/A (n=1)
Long CoT,Output Tokens,1024.00,1024.00,0.00,N/A (n=1)
