Strategy,Metric,Mean,Median,Standard Deviation,95% Confidence Interval
Zero-shot Direct,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot Direct,Energy (J),115.34,85.64,80.43,N/A (n=1)
Zero-shot Direct,Total Latency (ms),14410.38,10723.12,10027.53,N/A (n=1)
Zero-shot Direct,Generation Latency (ms),10711.75,10119.58,3568.91,N/A (n=1)
Zero-shot Direct,TTFT (ms),3698.64,614.67,8306.31,N/A (n=1)
Zero-shot Direct,Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot Direct,Output Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Few-shot (3),Energy (J),96.83,90.30,53.65,N/A (n=1)
Few-shot (3),Total Latency (ms),12094.64,11299.90,6691.95,N/A (n=1)
Few-shot (3),Generation Latency (ms),10626.66,10492.18,3450.58,N/A (n=1)
Few-shot (3),TTFT (ms),1467.98,597.92,4911.83,N/A (n=1)
Few-shot (3),Thinking Tokens,256.00,256.00,0.00,N/A (n=1)
Few-shot (3),Output Tokens,256.00,256.00,0.00,N/A (n=1)
Zero-shot CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Zero-shot CoT,Energy (J),183.54,168.86,70.98,N/A (n=1)
Zero-shot CoT,Total Latency (ms),22949.83,21118.82,8869.66,N/A (n=1)
Zero-shot CoT,Generation Latency (ms),22226.01,20391.73,8382.22,N/A (n=1)
Zero-shot CoT,TTFT (ms),723.82,482.77,603.84,N/A (n=1)
Zero-shot CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Zero-shot CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Short CoT,Energy (J),202.10,194.50,108.96,N/A (n=1)
Short CoT,Total Latency (ms),25269.52,24461.96,13595.59,N/A (n=1)
Short CoT,Generation Latency (ms),22116.65,23655.61,8114.89,N/A (n=1)
Short CoT,TTFT (ms),3152.87,575.77,8055.39,N/A (n=1)
Short CoT,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Short CoT,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Long CoT,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Long CoT,Energy (J),370.09,385.96,135.03,N/A (n=1)
Long CoT,Total Latency (ms),46323.02,48359.35,16891.25,N/A (n=1)
Long CoT,Generation Latency (ms),44917.25,47746.69,15315.69,N/A (n=1)
Long CoT,TTFT (ms),1405.77,551.41,5315.29,N/A (n=1)
Long CoT,Thinking Tokens,1024.00,1024.00,0.00,N/A (n=1)
Long CoT,Output Tokens,1024.00,1024.00,0.00,N/A (n=1)
