Strategy,Metric,Mean,Median,Standard Deviation,95% Confidence Interval
Context 0 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 0 tokens,Energy (J),4386.50,4420.42,230.80,N/A (n=1)
Context 0 tokens,Total Latency (ms),45414.78,46298.68,2207.38,N/A (n=1)
Context 0 tokens,Generation Latency (ms),43169.52,43329.16,1444.70,N/A (n=1)
Context 0 tokens,TTFT (ms),2245.26,2483.24,1200.71,N/A (n=1)
Context 0 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 0 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 512 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 512 tokens,Energy (J),5573.48,5649.89,313.69,N/A (n=1)
Context 512 tokens,Total Latency (ms),55806.61,56759.24,3009.87,N/A (n=1)
Context 512 tokens,Generation Latency (ms),43648.13,43079.13,2099.77,N/A (n=1)
Context 512 tokens,TTFT (ms),12158.48,13430.00,2266.94,N/A (n=1)
Context 512 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 512 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 1024 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 1024 tokens,Energy (J),6843.16,6919.00,346.76,N/A (n=1)
Context 1024 tokens,Total Latency (ms),67748.60,68364.31,3378.49,N/A (n=1)
Context 1024 tokens,Generation Latency (ms),44111.55,44010.57,472.38,N/A (n=1)
Context 1024 tokens,TTFT (ms),23637.05,23542.72,3143.93,N/A (n=1)
Context 1024 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 1024 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 2048 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 2048 tokens,Energy (J),8509.92,8356.58,420.34,N/A (n=1)
Context 2048 tokens,Total Latency (ms),84587.80,84345.79,3892.30,N/A (n=1)
Context 2048 tokens,Generation Latency (ms),47034.62,46247.48,2030.65,N/A (n=1)
Context 2048 tokens,TTFT (ms),37553.18,38460.58,2507.25,N/A (n=1)
Context 2048 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 2048 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 4096 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 4096 tokens,Energy (J),9015.54,9066.33,182.95,N/A (n=1)
Context 4096 tokens,Total Latency (ms),89101.15,89327.60,1861.26,N/A (n=1)
Context 4096 tokens,Generation Latency (ms),45546.60,44812.58,1774.13,N/A (n=1)
Context 4096 tokens,TTFT (ms),43554.56,43543.69,827.61,N/A (n=1)
Context 4096 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 4096 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
Context 8192 tokens,Total Accuracy,0.00,0.00,0.00,N/A (n=1)
Context 8192 tokens,Energy (J),8958.46,8998.55,77.74,N/A (n=1)
Context 8192 tokens,Total Latency (ms),88498.27,88788.71,654.54,N/A (n=1)
Context 8192 tokens,Generation Latency (ms),44486.53,44271.99,944.88,N/A (n=1)
Context 8192 tokens,TTFT (ms),44011.74,43386.60,1058.64,N/A (n=1)
Context 8192 tokens,Thinking Tokens,512.00,512.00,0.00,N/A (n=1)
Context 8192 tokens,Output Tokens,512.00,512.00,0.00,N/A (n=1)
